,entities.urls,created_at,full_text,claim_text,fact_text,user.name,user.id,id,lang,real_fact
10,"[{'url': 'https://t.co/qCtXp7x2rB', 'expanded_url': 'https://twitter.com/DrRPNishank/status/1261541325985349633?s=09', 'display_url': 'twitter.com/DrRPNishank/st…', 'indices': [242, 265]}]",2020-05-16 07:44:07+00:00,"Claim - A whatsapp forward claiming to be Date Sheet of #CBSE Board examination for Class 10th &amp; 12th.

#PIBFactCheck: #Fake forwards. Union HRD Minister @DrRPNishank will be releasing  the date sheet for the same at 5 pm today. 

Check: https://t.co/qCtXp7x2rB https://t.co/7JNxsZTwsK",Claim - A whatsapp forward claiming to be Date Sheet of #CBSE Board examination for Class 10th &amp; 12th.,#PIBFactCheck: #Fake forwards. Union HRD Minister @DrRPNishank will be releasing  the date sheet for the same at 5 pm today. ,PIB Fact Check,1.20763E+18,1.26156E+18,en,FALSE
11,[],2020-05-14 07:41:54+00:00,"Claim- A whatsapp message circulating, claims that workers who worked during 1990-2020 are entitled to receive Rs 120000 from Labour Ministry.

#PIBFactCheck: Its #FakeNews! There is no such announcement by Govt. of India. Beware of such fraudulent websites. https://t.co/qyS0mDmQW4","Claim- A whatsapp message circulating, claims that workers who worked during 1990-2020 are entitled to receive Rs 120000 from Labour Ministry.",#PIBFactCheck: Its #FakeNews! There is no such announcement by Govt. of India. Beware of such fraudulent websites. https://t.co/qyS0mDmQW4,PIB Fact Check,1.20763E+18,1.26084E+18,en,FALSE
12,[],2020-05-13 05:53:54+00:00,"Claim: A twitter handle @GB_Ladakh_India  claims to be official account of ""Gilgit-Baltistan, Ladakh, UT, India""

#PIBFactCheck: It is a #Fake handle. Union Territory of Ladakh has only 2 official Twitter handles ie @DIPR_Leh &amp;  @InformationDep4. 
Follow them for official updates https://t.co/sKzK6xvpIC",,,PIB Fact Check,1.20763E+18,1.26045E+18,en,FALSE
13,[],2020-05-12 07:15:39+00:00,"Claim: A so-called 3-week, 5-phase ""roadmap"", purportedly made
by the Government, to ease #COVID19India restrictions is being circulated on Whatsapp.

#PIBFactCheck: #Fake news.This roadmap is not made by our Government, but by that of some other country https://t.co/20duABJP9V","Claim: A so-called 3-week, 5-phase ""roadmap"", purportedly made
by the Government, to ease #COVID19India restrictions is being circulated on Whatsapp.","#PIBFactCheck: #Fake news.This roadmap is not made by our Government, but by that of some other country https://t.co/20duABJP9V",PIB Fact Check,1.20763E+18,1.26011E+18,en,FALSE
14,[],2020-05-11 15:21:02+00:00,"RT @PIB_Guwahati: Claim: MHA has declared Guwahati (&amp; 6 other districts) as Red Zone.

#FactCheck: #FakeNews
@MoHFW_INDIA and not @HMOIndia…",RT @PIB_Guwahati: Claim: MHA has declared Guwahati (&amp; 6 other districts) as Red Zone.,,PIB Fact Check,1.20763E+18,1.25987E+18,en,FALSE
15,"[{'url': 'https://t.co/fEyBjwxItu', 'expanded_url': 'http://Dailyexcelsior.com', 'display_url': 'Dailyexcelsior.com', 'indices': [19, 42]}]",2020-05-11 15:07:17+00:00,"Claim: News Portal https://t.co/fEyBjwxItu reports J&amp;K students ""stranded"" in Delhi due to #Lockdown were told to arrange buses for themselves by college administration
#PIBFactCheck: Incorrect. University admin has not asked students to leave/arrange their own transport https://t.co/uxN4JfW4SJ","Claim: News Portal https://t.co/fEyBjwxItu reports J&amp;K students ""stranded"" in Delhi due to #Lockdown were told to arrange buses for themselves by college administration",#PIBFactCheck: Incorrect. University admin has not asked students to leave/arrange their own transport https://t.co/uxN4JfW4SJ,PIB Fact Check,1.20763E+18,1.25986E+18,en,FALSE
16,"[{'url': 'https://t.co/dSIqul4NeE', 'expanded_url': 'https://twitter.com/PIB_India/status/1259807845559615489?s=19', 'display_url': 'twitter.com/PIB_India/stat…', 'indices': [214, 237]}]",2020-05-11 12:07:50+00:00,"#PIBFactCheck
Myth: @TheAsianAgeNews reports Centre is ""mulling"" a religion-based mapping to identify #COVID19India hotspots 

Reality: The claim is incorrect. Spokesperson @MoHFW_INDIA has termed it irresponsible
https://t.co/dSIqul4NeE https://t.co/rFweCswlKe","Myth: @TheAsianAgeNews reports Centre is ""mulling"" a religion-based mapping to identify #COVID19India hotspots ",Reality: The claim is incorrect. Spokesperson @MoHFW_INDIA has termed it irresponsible,PIB Fact Check,1.20763E+18,1.25982E+18,en,FALSE
17,"[{'url': 'https://t.co/kJZSGezGgF', 'expanded_url': 'https://twitter.com/DrJitendraSingh/status/1259768655748853760?s=19', 'display_url': 'twitter.com/DrJitendraSing…', 'indices': [257, 280]}]",2020-05-11 09:28:27+00:00,"Claim: Times Now has reported that Central Govt is mulling over Central govt employees salary pay cut of 30%
 
#PIBFactCheck: Incorrect. There is no proposal under consideration of  Government for any cut in their salaries. Already denied by the Minister : https://t.co/kJZSGezGgF https://t.co/cWdE36w9DH",Claim: Times Now has reported that Central Govt is mulling over Central govt employees salary pay cut of 30%,#PIBFactCheck: Incorrect. There is no proposal under consideration of  Government for any cut in their salaries.,PIB Fact Check,1.20763E+18,1.25978E+18,en,FALSE
18,"[{'url': 'https://t.co/TG3v6LBJcw', 'expanded_url': 'https://ayushman-yojana.org/', 'display_url': 'ayushman-yojana.org', 'indices': [45, 68]}, {'url': 'https://t.co/tnUGezSd4B', 'expanded_url': 'https://www.pmjay.gov.in/', 'display_url': 'pmjay.gov.in', 'indices': [188, 211]}, {'url': 'https://t.co/k3Z7F4ksWC', 'expanded_url': 'https://twitter.com/AyushmanNHA/status/1259131927732387841?s=20', 'display_url': 'twitter.com/AyushmanNHA/st…', 'indices': [252, 275]}]",2020-05-10 15:08:28+00:00,"Claim: Whatsapp message circulating claiming https://t.co/TG3v6LBJcw as official website of Ayushman Bharat Yojana

#PIBFactCheck: False! The National Health Authority  has clarified that https://t.co/tnUGezSd4B. is its only official website. 

Check: https://t.co/k3Z7F4ksWC https://t.co/RRrZKRcEJM",Claim: Whatsapp message circulating claiming https://t.co/TG3v6LBJcw as official website of Ayushman Bharat Yojana,#PIBFactCheck: False! The National Health Authority  has clarified that https://t.co/tnUGezSd4B. is its only official website. ,PIB Fact Check,1.20763E+18,1.2595E+18,en,FALSE
19,"[{'url': 'https://t.co/hKvGDlrhYm', 'expanded_url': 'https://twitter.com/DelhiPolice/status/1259054386862370816?s=19', 'display_url': 'twitter.com/DelhiPolice/st…', 'indices': [248, 271]}]",2020-05-09 12:52:30+00:00,"#PIBFactCheck
Claim :  Indian Express story states Delhi Police Crime Branch has found that an audio clip mentioned in police FIR against Markaz Nizamuddin head Maulana Saad Kandhalvi may be doctored 
Fact : Incorrect. Delhi police have denied it.
https://t.co/hKvGDlrhYm https://t.co/23SpxRTBw5",Claim :  Indian Express story states Delhi Police Crime Branch has found that an audio clip mentioned in police FIR against Markaz Nizamuddin head Maulana Saad Kandhalvi may be doctored ,Fact : Incorrect. Delhi police have denied it.,PIB Fact Check,1.20763E+18,1.2591E+18,en,FALSE
20,"[{'url': 'https://t.co/h93SvMmBnL', 'expanded_url': 'https://pib.gov.in/PressReleasePage.aspx?PRID=1622239#.XrVyaY9W5iM.whatsapp', 'display_url': 'pib.gov.in/PressReleasePa…', 'indices': [256, 279]}]",2020-05-08 15:33:53+00:00,"#PIBFactCheck 
Claim : Citing Dr Sanjiiv Relhan, video publisher @BrutIndia says India is short on #PPE #Coveralls because of a quality control problem

Reality : Eight approved labs accredited to NABL test prototype samples of #PPE #Coveralls.
Read here:
https://t.co/h93SvMmBnL https://t.co/MzjMr2xakV","Claim : Citing Dr Sanjiiv Relhan, video publisher @BrutIndia says India is short on #PPE #Coveralls because of a quality control problem",Reality : Eight approved labs accredited to NABL test prototype samples of #PPE #Coveralls.,PIB Fact Check,1.20763E+18,1.25878E+18,en,FALSE
21,[],2020-05-08 14:33:39+00:00,"RT @ROBChandigarh: #FakeNews
Claim: An audio message is shared on social media claiming that central govt is giving Rs 3 lakh per #COVID19…",Claim: An audio message is shared on social media claiming that central govt is giving Rs 3 lakh per #COVID19…,,PIB Fact Check,1.20763E+18,1.25877E+18,en,FALSE
22,[],2020-05-08 09:44:35+00:00,"RT @PIBMumbai: Claim: A #WhatsApp forward says there'll be a military lockdown in Mumbai for 10 days, starting from Saturday

#PIBFactCheck…","Claim: A #WhatsApp forward says there'll be a military lockdown in Mumbai for 10 days, starting from Saturday",,PIB Fact Check,1.20763E+18,1.25869E+18,en,FALSE
23,[],2020-05-08 05:29:56+00:00,"RT @PIB_Guwahati: #PIBFactCheck

Claim: News channel @DY365 reported that the no. of deaths due to #COVID19 in India has crossed 50k.  

#F…",Claim: News channel @DY365 reported that the no. of deaths due to #COVID19 in India has crossed 50k.  ,,PIB Fact Check,1.20763E+18,1.25863E+18,en,FALSE
24,[],2020-05-08 05:23:33+00:00,"#PIBFactCheck 
Claim: Video on social media showing passengers on purported @airindiain overseas flight arguing over being charged thrice the normal fare &amp; then packed in, without #SocialDistancing

Fact: #Fake video.  @MoCA_GoI says it is from a neighbouring country's airlines https://t.co/Uww1zrHH5m","Claim: Video on social media showing passengers on purported @airindiain overseas flight arguing over being charged thrice the normal fare &amp; then packed in, without #SocialDistancing",Fact: #Fake video.  @MoCA_GoI says it is from a neighbouring country's airlines https://t.co/Uww1zrHH5m,PIB Fact Check,1.20763E+18,1.25863E+18,en,FALSE
25,[],2020-05-07 12:46:17+00:00,"RT @PBNS_India: Fact-check - Hyderabad edition of Times of India reports 50,000 COVID19 deaths in India, while the actual figure stands at…",,,PIB Fact Check,1.20763E+18,1.25838E+18,en,FALSE
26,[],2020-05-06 03:41:02+00:00,"There is another disease that spreads by a careless touch - #FakeNews

Be responsible and verify any suspicious information

#MatKarForward @ayushmannk @imVkohli @kritisanon https://t.co/Rq1PCeQOuS",,,PIB Fact Check,1.20763E+18,1.25788E+18,en,FALSE
27,[],2020-05-05 13:10:08+00:00,"Claim:A whatsapp message is circulating with links to Google Forms titled 'RESCUE FLIGHTS FROM INDIA', for stranded Indians.

#PIBFactCheck: Indian Govt has not issued any such forms. It's advised not to click on these links &amp; to register only through the official Embassy website https://t.co/ZEjtxhzqMq","Claim:A whatsapp message is circulating with links to Google Forms titled 'RESCUE FLIGHTS FROM INDIA', for stranded Indians.",#PIBFactCheck: Indian Govt has not issued any such forms. It's advised not to click on these links &amp; to register only through the official Embassy website https://t.co/ZEjtxhzqMq,PIB Fact Check,1.20763E+18,1.25766E+18,en,FALSE
28,[],2020-05-04 07:30:25+00:00,"RT @cbic_india: Taxpayers Beware !!!
Please do not click on any fake link which promises to give refund. These are phishing messages and ar…",,"RT @cbic_india: Taxpayers Beware !!!
Please do not click on any fake link which promises to give refund. These are phishing messages and ar…",PIB Fact Check,1.20763E+18,1.25721E+18,en,FALSE
29,[],2020-05-02 09:59:40+00:00,"Claim: Govt has started a scheme named Rashtriya Sikshit Berojgar Yojana to provide relief package of Rs 50000 to all ration card holders

#PIBFactCheck: No such scheme has been launched by Govt of India. Beware of such fake and fraudulent sites collecting your personal info/fees https://t.co/RTawkuzmDK",Claim: Govt has started a scheme named Rashtriya Sikshit Berojgar Yojana to provide relief package of Rs 50000 to all ration card holders,#PIBFactCheck: No such scheme has been launched by Govt of India. Beware of such fake and fraudulent sites collecting your personal info/fees https://t.co/RTawkuzmDK,PIB Fact Check,1.20763E+18,1.25652E+18,en,FALSE
30,[],2020-05-01 13:46:47+00:00,"Claim : Amidst #CoronaOutbreak, a social media message claims free masks are being distributed by Government under 'PM Mask Yojana'. A link is provided for placement of orders

#PIBFactCheck: There is no such scheme. This is a fraudulent link. Do not spread such #FakeNews https://t.co/C17WQeRJGC","Claim : Amidst #CoronaOutbreak, a social media message claims free masks are being distributed by Government under 'PM Mask Yojana'. A link is provided for placement of orders",#PIBFactCheck: There is no such scheme. This is a fraudulent link. Do not spread such #FakeNews https://t.co/C17WQeRJGC,PIB Fact Check,1.20763E+18,1.25622E+18,en,FALSE
31,[],2020-05-01 13:45:06+00:00,"Claim: A WhatsApp message claims that Government is providing ₹4000/- as scholarship for english medium students to study at home digitally. A link has been provided to apply for same.

#PIBFactCheck : The claim is #Fake. There is no such scheme under Central Government. https://t.co/znlOvV4PlP",Claim: A WhatsApp message claims that Government is providing ₹4000/- as scholarship for english medium students to study at home digitally. A link has been provided to apply for same.,#PIBFactCheck : The claim is #Fake. There is no such scheme under Central Government. https://t.co/znlOvV4PlP,PIB Fact Check,1.20763E+18,1.25622E+18,en,FALSE
32,"[{'url': 'https://t.co/tIb1nB925N', 'expanded_url': 'https://tinyurl.com/ycmqx2ke', 'display_url': 'tinyurl.com/ycmqx2ke', 'indices': [261, 284]}]",2020-05-01 10:24:05+00:00,"Claim: News portal Greater Kashmir claims Center has shifted service matters of employees of J&amp;K and Ladakh to Chandigarh CAT

#PIBFactcheck: CAT bench will continue sittings in J&amp;K to dispose off service matters of Central Government employees. 
Read: https://t.co/tIb1nB925N https://t.co/33FdypCeuy",Claim: News portal Greater Kashmir claims Center has shifted service matters of employees of J&amp;K and Ladakh to Chandigarh CAT,"
#PIBFactcheck: CAT bench will continue sittings in J&amp;K to dispose off service matters of Central Government employees. ",PIB Fact Check,1.20763E+18,1.25617E+18,en,FALSE
33,"[{'url': 'https://t.co/xPF5euempV', 'expanded_url': 'https://twitter.com/RanchiPIB/status/1255096600327712773', 'display_url': 'twitter.com/RanchiPIB/stat…', 'indices': [30, 53]}]",2020-04-28 12:17:11+00:00,#PIBFactCheck from @RanchiPIB https://t.co/xPF5euempV,,,PIB Fact Check,1.20763E+18,1.25511E+18,en,FALSE
34,[],2020-04-28 12:14:27+00:00,"Claim: A circular is doing rounds on social media projecting to be from @LabourMinistry.

#PIBFactCheck: Found True! The Ministry has requested all chief secretaries to advise employers of all establishments to not terminate or reduce wages of their employees amid #Covid_19 https://t.co/416z4s5WRK",Claim: A circular is doing rounds on social media projecting to be from @LabourMinistry.,#PIBFactCheck: Found True! The Ministry has requested all chief secretaries to advise employers of all establishments to not terminate or reduce wages of their employees amid #Covid_19 https://t.co/416z4s5WRK,PIB Fact Check,1.20763E+18,1.25511E+18,en,FALSE
35,[],2020-04-27 11:40:30+00:00,"Claim: Facebook post claims #Coronavirus test kits have been bought at inflated price by @ICMRDELHI

#PIBFactCheck:  Price range approved by #ICMR is ₹740 to 1150 for RT-PCR and ₹528 to 795 for Rapid Test kit. ICMR is open to buying kits from any company offering cheaper rates. https://t.co/aNsrEbPuXv",Claim: Facebook post claims #Coronavirus test kits have been bought at inflated price by @ICMRDELHI,#PIBFactCheck:  Price range approved by #ICMR is ₹740 to 1150 for RT-PCR and ₹528 to 795 for Rapid Test kit. ICMR is open to buying kits from any company offering cheaper rates. https://t.co/aNsrEbPuXv,PIB Fact Check,1.20763E+18,1.25474E+18,en,FALSE
36,"[{'url': 'https://t.co/YMClurHyOa', 'expanded_url': 'https://twitter.com/DDNewsHindi/status/1254650822081703936', 'display_url': 'twitter.com/DDNewsHindi/st…', 'indices': [69, 92]}]",2020-04-27 07:28:16+00:00,"Let's fight #FakeNews together. 

Watch this segment by @DDNewsHindi https://t.co/YMClurHyOa",,,PIB Fact Check,1.20763E+18,1.25467E+18,en,FALSE
37,[],2020-04-26 09:07:57+00:00,"Claim: WhatsApp forward claims Government is going to bring in Act to have 18% income deposited by all tax payers 

#PIBFactCheck: No such move being discussed by the Government. This is a figment of imagination aimed at scaremongering. Please do not forward any such #FakeNews https://t.co/z9H90uXG7n",Claim: WhatsApp forward claims Government is going to bring in Act to have 18% income deposited by all tax payers ,#PIBFactCheck: No such move being discussed by the Government. This is a figment of imagination aimed at scaremongering. Please do not forward any such #FakeNews https://t.co/z9H90uXG7n,PIB Fact Check,1.20763E+18,1.25434E+18,en,FALSE
38,[],2020-04-26 04:32:03+00:00,"Claim: A web news portal claims Centre is likely to reduce retirement age of Central Government employees to 50 In #Coronavirus Crisis

#PIBFactCheck: The claim made within the report is false. Centre is neither planning nor discussing any such move

#COVID19 #IndiaFightsCorona https://t.co/d9jaWnUwxs",Claim: A web news portal claims Centre is likely to reduce retirement age of Central Government employees to 50 In #Coronavirus Crisis,#PIBFactCheck: The claim made within the report is false. Centre is neither planning nor discussing any such move,PIB Fact Check,1.20763E+18,1.25427E+18,en,FALSE
39,[],2020-04-25 16:44:14+00:00,"RT @PIB_Guwahati: #PIBFactCheck
Claim: Lack of infrastructure, equipment in Tamenglong dist. hospital amid #COVID19 pandemic
#FactCheck: #F…","Claim: Lack of infrastructure, equipment in Tamenglong dist. hospital amid #COVID19 pandemic",,PIB Fact Check,1.20763E+18,1.25409E+18,en,FALSE
40,[],2020-04-22 12:18:27+00:00,"RT @PIB_Guwahati: Claim: Study on Immunity of Indigenous Assamese by ICMR as not a single case of #COVID19 

Fact Check: DG, @ICMRDELHI say…", Claim: Study on Immunity of Indigenous Assamese by ICMR as not a single case of #COVID19 ,,PIB Fact Check,1.20763E+18,1.25293E+18,en,FALSE
41,"[{'url': 'https://t.co/MjDTVwaX9i', 'expanded_url': 'https://twitter.com/PIB_India/status/1252886390821449728', 'display_url': 'twitter.com/PIB_India/stat…', 'indices': [208, 231]}]",2020-04-22 09:13:16+00:00,"No letter has been issued by @tourismgoi on closing of hotels/restaurants till 15th Oct 2020 amidst #CoronaOutbreak.
It's a request to all to ignore such messages and only believe the official communication. https://t.co/MjDTVwaX9i",,No letter has been issued by @tourismgoi on closing of hotels/restaurants till 15th Oct 2020 amidst #CoronaOutbreak.,PIB Fact Check,1.20763E+18,1.25289E+18,en,FALSE
42,[],2020-04-21 14:21:56+00:00,"Claim: Firstpost, a web news portal, has reported that Government has launched a beta version of a soon to be launched video conferencing app 

#PIBFactCheck: Government has neither launched nor endorsed any video conferencing app https://t.co/3Hr3bP2DcP","Claim: Firstpost, a web news portal, has reported that Government has launched a beta version of a soon to be launched video conferencing app ",#PIBFactCheck: Government has neither launched nor endorsed any video conferencing app,PIB Fact Check,1.20763E+18,1.2526E+18,en,FALSE
43,"[{'url': 'https://t.co/Qmjc6kNXEc', 'expanded_url': 'https://twitter.com/PIBFactCheck/status/1247754535818293248', 'display_url': 'twitter.com/PIBFactCheck/s…', 'indices': [266, 289]}]",2020-04-21 05:31:59+00:00,"On popular demand, the #FakeNews claiming that hotels/resturants will remain closed till 15th October 2020 due to #Coronavirusoutbreak, is being reposted. 

It's again clarified that no such order has been issued by Tourism Ministry.

Stay clear of romours mongers. https://t.co/Qmjc6kNXEc",,,PIB Fact Check,1.20763E+18,1.25247E+18,en,FALSE
44,[],2020-04-20 15:06:59+00:00,"#FakeNews is as dangerous as #Coronavirus!

Check out, how @PIBFactcheck Unit works to break the #Fakenews chain &amp; brings out the facts to you- our #FakeNewsWarriors.

 Let's listen to this segment from @DDNewslive 👇 https://t.co/o1nFVtnBUo",,,PIB Fact Check,1.20763E+18,1.25225E+18,en,FALSE
45,[],2020-04-20 12:51:53+00:00,RT @PIBShimla: (1/2) DM Una (HP) responds to News Item published in @thewire_in - Hoshiarpur's Muslim Gujjars denied entry into HP to suppl…,,,PIB Fact Check,1.20763E+18,1.25222E+18,en,FALSE
46,[],2020-04-20 09:37:48+00:00,"Claim: Scroll -a prominent media portal has claimed children in Jehanabad, Bihar are eating frogs as they have no food at home. The video has since gone viral.
#PIBFactCheck: The claim is false as inquired by Jehanabad DM, there is sufficient food in the homes of the children https://t.co/GwXlSCVwHD","Claim: Scroll -a prominent media portal has claimed children in Jehanabad, Bihar are eating frogs as they have no food at home. The video has since gone viral.","#PIBFactCheck: The claim is false as inquired by Jehanabad DM, there is sufficient food in the homes of the children https://t.co/GwXlSCVwHD",PIB Fact Check,1.20763E+18,1.25217E+18,en,FALSE
47,[],2020-04-19 04:29:01+00:00,RT @FinMinIndia: It is being reported that a 20% cut in Central Government Pensions is being  planned.This news is FALSE. There will be no…,,RT @FinMinIndia: It is being reported that a 20% cut in Central Government Pensions is being  planned.,PIB Fact Check,1.20763E+18,1.25173E+18,en,FALSE
48,"[{'url': 'https://t.co/S8QqlSFzt4', 'expanded_url': 'https://twitter.com/FinMinIndia/status/1251719051828551680?s=09', 'display_url': 'twitter.com/FinMinIndia/st…', 'indices': [177, 200]}, {'url': 'https://t.co/tKHbLZaRii', 'expanded_url': 'https://twitter.com/PIBFactCheck/status/1248277170801094656', 'display_url': 'twitter.com/PIBFactCheck/s…', 'indices': [201, 224]}]",2020-04-19 04:22:13+00:00,"It is being reported that a 20% cut in Central Government Pensions is being  planned. This news is FALSE &amp; BASELESS. There will be no cut in pension disbursements. 

Read : https://t.co/S8QqlSFzt4 https://t.co/tKHbLZaRii",,It is being reported that a 20% cut in Central Government Pensions is being  planned. This news is FALSE &amp; BASELESS. There will be no cut in pension disbursements. ,PIB Fact Check,1.20763E+18,1.25173E+18,en,FALSE
49,"[{'url': 'https://t.co/xzkCNm1Kdi', 'expanded_url': 'https://twitter.com/PIBMumbai/status/1251472853620281345', 'display_url': 'twitter.com/PIBMumbai/stat…', 'indices': [174, 197]}]",2020-04-18 15:36:38+00:00,"Centres offering assistance for women, who are victims of #DomesticViolence during #Covid_19 Lockdown are functional across India

Do not fall for rumours stating otherwise! https://t.co/xzkCNm1Kdi",,"Centres offering assistance for women, who are victims of #DomesticViolence during #Covid_19 Lockdown are functional across India",PIB Fact Check,1.20763E+18,1.25154E+18,en,FALSE
50,[],2020-04-17 11:12:44+00:00,"As the mercury soars, here's one more #PIBFactcheck

Claim : ACs should not be used to cool off in the heat, as they spread #Covid_19 

Fact : It's a little complicated. Window ACs are ok, but not central air-conditioning. Let's listen to this segment from @DDNewslive 👇 https://t.co/UkbZsJ4pIs","Claim : ACs should not be used to cool off in the heat, as they spread #Covid_19 ","Fact : It's a little complicated. Window ACs are ok, but not central air-conditioning. Let's listen to this segment from @DDNewslive 👇 https://t.co/UkbZsJ4pIs",PIB Fact Check,1.20763E+18,1.25111E+18,en,FALSE
51,[],2020-04-17 08:55:06+00:00,"RT @PIB_India: #PIBFactCheck
Claim: A prominent newspaper says 80 Radio Jockeys (RJs) of Delhi FM Gold are out of work and not been paid de…",Claim: A prominent newspaper says 80 Radio Jockeys (RJs) of Delhi FM Gold are out of work and not been paid,,PIB Fact Check,1.20763E+18,1.25107E+18,en,FALSE
52,"[{'url': 'https://t.co/AAULlmBW2F', 'expanded_url': 'https://twitter.com/PIBMumbai/status/1250782647288127489', 'display_url': 'twitter.com/PIBMumbai/stat…', 'indices': [62, 85]}]",2020-04-16 13:55:41+00:00,Beware of #Fake information and rely on official source only! https://t.co/AAULlmBW2F,,,PIB Fact Check,1.20763E+18,1.25078E+18,en,FALSE
53,[],2020-04-16 07:53:46+00:00,"Claim: Government is going to drop money from helicopters in every town

#PIBFactCheck: Government is going to do no such thing https://t.co/on7ZNsEXgT",Claim: Government is going to drop money from helicopters in every town,#PIBFactCheck: Government is going to do no such thing https://t.co/on7ZNsEXgT,PIB Fact Check,1.20763E+18,1.25069E+18,en,FALSE
